"","n_","t_","qtl","beta_fit","gamma_fit","iter","dgp"
"result.1",50,200,0.25,0.963086581185673,NA,23,"1f"
"result.2",50,200,0.25,0.9670241904618,NA,9,"1f"
"result.3",50,200,0.25,0.971916024615754,NA,10,"1f"
"result.4",50,200,0.25,0.970661612161482,NA,13,"1f"
"result.5",50,200,0.25,0.965887145142896,NA,11,"1f"
"result.6",50,200,0.5,0.969953297317419,NA,12,"1f"
"result.7",50,200,0.5,0.95344790689443,NA,11,"1f"
"result.8",50,200,0.5,0.963305145077955,NA,15,"1f"
"result.9",50,200,0.5,0.956924573762978,NA,15,"1f"
"result.10",50,200,0.5,0.963015873501563,NA,17,"1f"
"result.11",50,200,0.75,0.96573498712414,NA,14,"1f"
"result.12",50,200,0.75,0.963582843739782,NA,10,"1f"
"result.13",50,200,0.75,0.955396921648621,NA,14,"1f"
"result.14",50,200,0.75,0.957376242907664,NA,10,"1f"
"result.15",50,200,0.75,0.948949765922043,NA,14,"1f"
"result.16",50,200,0.25,0.971127481775446,0.976100950675543,9,"2f"
"result.17",50,200,0.25,0.951761625217141,0.971284159354138,11,"2f"
"result.18",50,200,0.25,0.967626978568586,0.963476684802563,12,"2f"
"result.19",50,200,0.25,0.947878611768434,0.968384064625126,25,"2f"
"result.20",50,200,0.25,0.964968969272052,0.967137445916744,6,"2f"
"result.21",50,200,0.5,0.976781520076753,0.972344569271583,6,"2f"
"result.22",50,200,0.5,0.973521574647096,0.954679295306795,7,"2f"
"result.23",50,200,0.5,0.971820637712312,0.963409628344466,8,"2f"
"result.24",50,200,0.5,0.957774192965673,0.961618358358607,8,"2f"
"result.25",50,200,0.5,0.97815900667282,0.968363314979052,8,"2f"
"result.26",50,200,0.75,0.947078531190896,0.972776861079128,13,"2f"
"result.27",50,200,0.75,0.968013915863089,0.966522690452315,13,"2f"
"result.28",50,200,0.75,0.958384631827843,0.961609583738656,30,"2f"
"result.29",50,200,0.75,0.978257485223843,0.97262179750139,10,"2f"
"result.30",50,200,0.75,0.961643939724978,0.967160886017481,13,"2f"
"result.31",50,200,0.25,0.992704172021666,0.797123920169108,100,"loc_scale"
"result.32",50,200,0.25,0.0527009511939767,0.572000207675207,100,"loc_scale"
"result.33",50,200,0.25,0.99755397697252,0.080012626219241,20,"loc_scale"
"result.34",50,200,0.25,0.992064806953733,0.734106280837336,50,"loc_scale"
"result.35",50,200,0.25,0.990311015026703,0.695600995368208,29,"loc_scale"
"result.36",50,200,0.5,0.996768677440854,0.00525383447851095,22,"loc_scale"
"result.37",50,200,0.5,0.998205313075959,0.0254314273348761,18,"loc_scale"
"result.38",50,200,0.5,0.999213110121332,0.00614882900933566,25,"loc_scale"
"result.39",50,200,0.5,0.999360827877083,0.149455281201089,12,"loc_scale"
"result.40",50,200,0.5,0.995094735173826,0.0241051440063585,14,"loc_scale"
"result.41",50,200,0.75,0.999142931367588,0.73446888800282,52,"loc_scale"
"result.42",50,200,0.75,0.999207772511207,0.82111306086123,34,"loc_scale"
"result.43",50,200,0.75,0.999184367112594,0.48166351329313,100,"loc_scale"
"result.44",50,200,0.75,0.997241504232325,0.731766516265951,89,"loc_scale"
"result.45",50,200,0.75,0.992953034745798,0.0368643077565372,100,"loc_scale"
